iter	RMSE
0	8.344071182
1	7.958681034
2	7.579858474
3	7.217341319
4	6.872619418
5	6.54556262
6	6.237114619
7	5.938971146
8	5.653346072
9	5.3790467
10	5.12454751
11	4.89032189
12	4.658492576
13	4.439134608
14	4.228836631
15	4.026434537
16	3.835158898
17	3.652063046
18	3.476752287
19	3.310501806
20	3.154430726
21	3.007270807
22	2.865003718
23	2.731874662
24	2.604063052
25	2.481016758
26	2.363598057
27	2.251720074
28	2.144797078
29	2.04747255
30	1.950051126
31	1.861394559
32	1.774936862
33	1.691434734
34	1.611404116
35	1.538755513
36	1.467769684
37	1.399275297
38	1.337122098
39	1.276295743
40	1.218164542
41	1.162871436
42	1.111387664
43	1.060884241
44	1.012445088
45	0.9680282958
46	0.9256663729
47	0.884305306
48	0.8451799087
49	0.8080157418
50	0.7739479716
51	0.7397982892
52	0.7085722082
53	0.6792914937
54	0.6514876255
55	0.6241951739
56	0.5988171387
57	0.5738750974
58	0.5502341751
59	0.5273364227
60	0.5061857931
61	0.4863287934
62	0.4675152622
63	0.4498019814
64	0.4329782888
65	0.4181796888
66	0.4027910554
67	0.3885673217
68	0.3751324467
69	0.362256209
70	0.3499424242
71	0.3384899817
72	0.3277498798
73	0.3176268535
74	0.308068406
75	0.2990233529
76	0.2899958497
77	0.2818124882
78	0.2744605174
79	0.2676223445
80	0.2608084662
81	0.2542398846
82	0.248102245
83	0.2422656308
84	0.2369905534
85	0.2319499211
86	0.2272243396
87	0.2229013823
88	0.2186181314
89	0.2143592945
90	0.2105300532
91	0.2067534879
92	0.2031642365
93	0.1998792377
94	0.1970262932
95	0.194133151
96	0.1914198157
97	0.1887002131
98	0.1862231217
99	0.1839347896
100	0.1816809253
101	0.1796611196
102	0.1777614381
103	0.175605165
104	0.1737742264
105	0.1719402154
106	0.1700916492
107	0.1686144696
108	0.1671695223
109	0.1658250593
110	0.164413199
111	0.163031475
112	0.1618446407
113	0.1607251691
114	0.1595843052
115	0.1586099066
116	0.1574626254
117	0.1565815098
118	0.1556058708
119	0.1546290036
120	0.1533409538
121	0.1521687936
122	0.1510243393
123	0.1503188406
124	0.1492228539
125	0.1483438815
126	0.1474471626
127	0.1462906131
128	0.1455783198
129	0.1448379126
130	0.1440026907
131	0.1431901068
132	0.1423031823
133	0.1417501717
134	0.1411575472
135	0.1406937429
136	0.140080472
137	0.1394459193
138	0.1389524484
139	0.1382454803
140	0.1377325927
141	0.1368641337
142	0.1363877868
143	0.1358578922
144	0.1353657172
145	0.1348593582
146	0.1343996816
147	0.1338441509
148	0.1334758116
149	0.1330094115
150	0.1326434659
151	0.1322618391
152	0.1318552068
153	0.1314729438
154	0.1310476454
155	0.1306242101
156	0.1302916859
157	0.1298667384
158	0.1292023451
159	0.1287692839
160	0.1283966479
161	0.1280903505
162	0.1277044907
163	0.1271865027
164	0.126946312
165	0.1265687884
166	0.1262271076
167	0.1260158745
168	0.1256956332
169	0.1252132361
170	0.1248799106
171	0.1246095975
172	0.1243026944
173	0.1241421569
174	0.123832175
175	0.1235407131
176	0.1233347977
177	0.122939812
178	0.1226510266
179	0.1222419388
180	0.1216715786
181	0.1214606722
182	0.1209816828
183	0.1207247683
184	0.1203606983
185	0.1201796563
186	0.1196875526
187	0.1191409205
188	0.1187793917
189	0.1185256291
190	0.1181124541
191	0.117841831
192	0.1175291177
193	0.1171279665
194	0.1168327448
195	0.1165991823
196	0.1162573376
197	0.1159628295
198	0.1155419088
199	0.1151803728
200	0.1149844969
201	0.1147243373
202	0.1144588403
203	0.1142103718
204	0.1139772476
205	0.1135734777
206	0.1133328141
207	0.112906869
208	0.1125667919
209	0.1123873513
210	0.112129602
211	0.1119325552
212	0.1115594772
213	0.1113992533
214	0.1110357131
215	0.1108565167
216	0.1105938433
217	0.1103177749
218	0.1101471627
219	0.1099166406
220	0.1096881153
221	0.1094150305
222	0.1091604955
223	0.1090179496
224	0.1088013677
225	0.1085313989
226	0.1082291165
227	0.1080564141
228	0.1076849472
229	0.1074839116
230	0.1071639848
231	0.1069509823
232	0.106719636
233	0.106489513
234	0.1061441913
235	0.1058726071
236	0.1056606176
237	0.1054006081
238	0.105162115
239	0.1049703937
240	0.1047898246
241	0.104676634
242	0.1043987095
243	0.1041333368
244	0.103940324
245	0.1037622722
246	0.1036007817
247	0.1033714581
248	0.1031655715
249	0.1029608016
250	0.1026448013
251	0.1025088796
252	0.1022197599
253	0.1020215243
254	0.1017599946
255	0.1015309982
256	0.101262153
257	0.1010628444
258	0.1008277454
259	0.1006948617
260	0.1004605816
261	0.1001847368
262	0.09995886335
263	0.09980150461
264	0.09965409259
265	0.09947721145
266	0.09929948825
267	0.09903938839
268	0.09889133076
269	0.09872439178
270	0.09859495897
271	0.09836170706
272	0.09821256987
273	0.09800002871
274	0.09782771548
275	0.09773509885
276	0.09752401474
277	0.09736294396
278	0.09714995853
279	0.09693093705
280	0.09678219425
281	0.09660708592
282	0.09641375753
283	0.09630494245
284	0.09613959653
285	0.09593233282
286	0.09578015416
287	0.09563000657
288	0.09547838383
289	0.09537016838
290	0.09524473654
291	0.09506957419
292	0.0949431642
293	0.09479080912
294	0.09464852454
295	0.09446712062
296	0.0942934438
297	0.09409677651
298	0.09393890131
299	0.09375008698
300	0.09362368118
301	0.09346965543
302	0.09335844556
303	0.09324085314
304	0.09313016252
305	0.09294607984
306	0.09278309811
307	0.0926476628
308	0.09249088287
309	0.09230274654
310	0.09218536145
311	0.09205625527
312	0.09190646473
313	0.09180165421
314	0.0916856558
315	0.09157572266
316	0.09146625925
317	0.09133520031
318	0.0911918777
319	0.09111179855
320	0.0909747756
321	0.09087508179
322	0.09074957026
323	0.09062286556
324	0.0905153236
325	0.09041095559
326	0.09033703645
327	0.09025877332
328	0.09013514711
329	0.09001377646
330	0.08990569808
331	0.08977901231
332	0.08963888375
333	0.089503224
334	0.08934061831
335	0.08923462155
336	0.089144046
337	0.08905958312
338	0.0889257852
339	0.08879883396
340	0.08863745726
341	0.0885621734
342	0.08844111158
343	0.08832099506
344	0.08821385107
345	0.0881281138
346	0.08802971683
347	0.08790726894
348	0.08779161323
349	0.08766602002
350	0.08758759455
351	0.08747191272
352	0.08736297449
353	0.08729477522
354	0.08717433376
355	0.08705071123
356	0.08690943115
357	0.08680728892
358	0.0867485947
359	0.08660390944
360	0.08650083268
361	0.08639169483
362	0.08628184677
363	0.08615788258
364	0.08606401323
365	0.0860135502
366	0.08594300497
367	0.08590134013
368	0.08580752799
369	0.08571421973
370	0.08559812267
371	0.08545718524
372	0.08534642284
373	0.08528861561
374	0.085170002
375	0.08508812096
376	0.08497180338
377	0.084873758
378	0.08479094171
379	0.08470306601
380	0.08455304787
381	0.08448415437
382	0.08439430079
383	0.08428584936
384	0.08423237226
385	0.08414657931
386	0.08403776829
387	0.08391772212
388	0.08382934299
389	0.08370862388
390	0.08358030787
391	0.08349903837
392	0.08340680877
393	0.08329867042
394	0.08321690855
395	0.08313506493
396	0.08305357193
397	0.08292719014
398	0.08280336964
399	0.08271944051
400	0.08261986806
401	0.0825504127
402	0.08244194408
403	0.0823564618
404	0.08227719449
405	0.08217771594
406	0.08212746231
407	0.08207162384
408	0.08200079338
409	0.08189610893
410	0.08183722761
411	0.08176467278
412	0.08170808622
413	0.08163150198
414	0.08155933098
415	0.08148395939
416	0.08137941394
417	0.0813263553
418	0.08119310829
419	0.08107235897
420	0.08099453922
421	0.08094846866
422	0.08086301459
423	0.08081531271
424	0.08070175445
425	0.08060413875
426	0.08049509615
427	0.0804275778
428	0.08037487464
429	0.08028861869
430	0.08021426231
431	0.08016875287
432	0.08009939823
433	0.08002011775
434	0.07990050431
435	0.07981186254
436	0.07976831957
437	0.07968749569
438	0.07960591103
439	0.07952761995
440	0.07945318164
441	0.07935188332
442	0.07930184386
443	0.07923672705
444	0.07915842513
445	0.07906006157
446	0.07899196922
447	0.07891899525
448	0.07886342491
449	0.07877589812
450	0.07870701562
451	0.07860431569
452	0.07852279883
453	0.07842018992
454	0.07838932362
455	0.07832651241
456	0.07826137588
457	0.07817121058
458	0.07810009256
459	0.07803202631
460	0.07794892929
461	0.07789252367
462	0.07784937352
463	0.07777856555
464	0.07772165109
465	0.07762684814
466	0.07755620023
467	0.07749292821
468	0.07741386387
469	0.07733520775
470	0.07726889275
471	0.0772013493
472	0.07714161774
473	0.07708692428
474	0.07700718229
475	0.07694284203
476	0.07687372099
477	0.07682319572
478	0.07677194099
479	0.07672753276
480	0.07665954357
481	0.07660454347
482	0.07653411711
483	0.07645351742
484	0.07634480216
485	0.0762842002
486	0.07621333886
487	0.07617182593
488	0.07610092073
489	0.07601623802
490	0.07595447862
491	0.07589498216
492	0.07583229796
493	0.07576869489
494	0.07572446496
495	0.07566046798
496	0.07558815619
497	0.07554167111
498	0.07547656103
499	0.07542761982
500	0.07535588673
501	0.07529457369
502	0.07523813408
503	0.0751797575
504	0.07512724288
505	0.0750699988
506	0.07502626147
507	0.07495334004
508	0.07489862106
509	0.07483984368
510	0.0747688597
511	0.07472501567
512	0.07466879692
513	0.07459669893
514	0.07454957137
515	0.07449851184
516	0.07443300282
517	0.07438627864
518	0.07434396684
519	0.07426501712
520	0.07420606141
521	0.07415263463
522	0.0741083077
523	0.07403830848
524	0.07397512117
525	0.07390355774
526	0.07385860983
527	0.07382134265
528	0.07375801384
529	0.07369830851
530	0.07361026117
531	0.07354382457
532	0.07348636234
533	0.07343583416
534	0.07337652607
535	0.07326337483
536	0.07322659606
537	0.07315365465
538	0.07310281347
539	0.07304557083
540	0.07299606582
541	0.07297291882
542	0.07292192217
543	0.07287995403
544	0.07282610775
545	0.07278252467
546	0.07269902103
547	0.07260182076
548	0.07254391756
549	0.07249541385
550	0.072443023
551	0.07239306527
552	0.07234870434
553	0.07229456941
554	0.07224770002
555	0.07218062041
556	0.07215238516
557	0.07209320212
558	0.07201772992
559	0.07197692339
560	0.07193028719
561	0.07187684944
562	0.07183346909
563	0.07177602606
564	0.07172943197
565	0.07168747228
566	0.07164186223
567	0.07159014418
568	0.07155768641
569	0.07150391111
570	0.0714738885
571	0.07143447778
572	0.07136163431
573	0.07130538244
574	0.07125570651
575	0.07120661623
576	0.07117170469
577	0.07113776792
578	0.07109175358
579	0.0710596793
580	0.07098710886
581	0.07094322445
582	0.07089996753
583	0.07087149191
584	0.07084042208
585	0.07077233819
586	0.07070977449
587	0.07068403491
588	0.07062197092
589	0.07058106604
590	0.07054039187
591	0.07048364369
592	0.070430114
593	0.07038346159
594	0.0703461653
595	0.07029470686
596	0.07021628184
597	0.0701499133
598	0.07011808429
599	0.07008444296
600	0.07005238637
601	0.07001893382
602	0.06996506326
603	0.06991271573
604	0.06988186649
605	0.06983345544
606	0.06977577974
607	0.06974903573
608	0.06971249829
